wavelength,intensity
901.0198689728451,156
904.9634728266626,174
908.9028621577714,130
912.8380369661718,210
916.7689972518638,201
922.003721708573,245
925.9248481079452,171
929.8417599846088,307
933.7544573385638,283
937.6629401698106,275
941.5672084783487,312
945.4672622641783,377
949.3631015272995,327
953.254726267712,374
957.1421364854161,395
961.0253321804119,360
964.904313352699,454
968.7790800022777,419
972.6496321291479,452
976.5159697333096,366
980.3780928147628,388
984.2360013735074,519
988.0896954095435,438
993.2213982000453,527
997.0652583497616,522
1000.9049039767697,594
1004.740335081069,580
1008.5715516626599,466
1012.3985537215423,576
1016.2213412577162,553
1020.0399142711816,510
1023.8542727619385,451
1027.664416729987,486
1031.470346175327,539
1035.2720610979584,509
1039.0695614978813,506
1042.8628473750957,507
1046.6519187296017,512
1050.4367755613991,488
1054.2174178704881,537
1057.9938456568686,539
1063.022526781163,463
1066.7891206812235,493
1070.5515000585756,444
1074.3096649132192,507
1078.0636152451543,538
1081.8133510543812,462
1085.5588723408991,514
1089.300179104709,499
1093.0372713458103,524
1096.770149064203,474
1100.498812259887,608
1104.223260932863,484
1107.94349508313,407
1111.6595147106887,449
1115.371319815539,438
1119.0789103976808,517
1122.7822864571142,507
1126.4814479938389,446
1131.4071074519252,502
1135.0964351023304,526
1138.7815482300266,555
1142.4624468350146,558
1146.139130917294,433
1149.8116004768651,566
1153.4798555137277,604
1157.1438960278815,539
1160.803722019327,604
1164.4593334880642,520
1168.1107304340926,577
1171.7579128574125,555
1175.400880758024,625
1179.039634135927,600
1182.6741729911216,725
1186.3044973236076,703
1189.9306071333854,584
1193.5525024204544,602
1198.375140212333,605
1201.9872016130823,659
1205.595048491123,684
1209.1986808464553,713
1212.798098679079,668
1216.3933019889944,582
1219.984290776201,762
1223.5710650406993,830
1227.153624782489,784
1230.7319700015703,673
1234.306100697943,780
1237.8760168716074,875
1241.4417185225632,777
1245.0032056508105,705
1248.5604782563494,646
1252.1135363391795,802
1255.6623798993014,799
1260.387615388584,912
1263.926625062386,815
1267.4614202134794,739
1270.9920008418644,718
1274.518366947541,759
1278.040518530509,748
1281.5584555907685,946
1285.0721781283196,835
1288.5816861431622,739
1292.0869796352963,833
1295.588058604722,694
1299.0849230514389,816
1302.5775729754473,771
1306.0660083767475,759
1309.5502292553392,758
1313.0302356112222,838
1316.5060274443968,733
1319.977604754863,865
1324.5998185779379,809
1328.0615620020842,745
1331.5190909035218,726
1334.9724052822512,824
1338.421505138272,651
1341.8663904715843,709
1345.307061282188,684
1348.7435175700834,779
1352.1757593352704,762
1355.6037865777487,704
1359.0275992975185,861
1362.4471974945798,696
1365.8625811689326,694
1369.2737503205772,788
1372.6807049495128,710
1376.0834450557404,635
1379.481970639259,749
1382.8762817000695,817
1387.3954738569369,683
1390.7799510314273,707
1394.1602136832093,773
1397.536261812283,714
1400.9080954186481,563
1404.2757145023047,692
1407.6391190632528,639
1410.9983091014924,640
1414.3532846170235,665
1417.7040456098462,681
1421.0505920799603,678
1424.392924027366,637
1427.731041452063,712
1431.0649443540517,653
1434.394632733332,684
1437.7201065899035,641
1441.0413659237665,722
1444.3584107349213,644
1448.774581225581,682
1452.0817921504158,610
1455.3847885525422,690
1458.68357043196,578
1461.9781377886695,657
1465.2684906226702,523
1468.5546289339627,635
1471.8365527225467,528
1475.114261988422,695
1478.387756731589,681
1481.6570369520473,601
1484.9221026497971,662
1488.1829538248387,629
1491.4395904771716,623
1494.692012606796,629
1497.9402202137119,556
1501.1842132979193,630
1504.4239918594183,649
1508.7371406838704,474
1511.9670853590496,557
1515.1928155115202,610
1518.4143311412822,511
1521.6316322483358,463
1524.844718832681,526
1528.0535908943177,514
1531.2582484332459,475
1534.4586914494655,469
1537.654919942977,459
1540.8469339137796,473
1544.0347333618736,464
1547.2183182872593,498
1550.3976886899366,468
1553.5728445699053,533
1556.7437859271654,440
1559.9105127617172,487
1563.0730250735605,418
1567.283152231805,435
1570.4358306573283,517
1573.5842945601432,442
1576.7285439402497,453
1579.8685787976476,438
1583.004399132337,416
1586.1360049443178,435
1589.2633962335904,377
1592.3865730001544,415
1595.50553524401,425
1598.6202829651568,376
1601.7308161635954,332
1604.8371348393252,391
1607.9392389923466,383
1611.0371286226598,290
1614.1308037302642,229
1617.2202643151602,254
1621.3329891708083,317
1624.4126158693846,231
1627.4880280452523,406
1630.5592256984114,209
1633.6262088288622,317
1636.6889774366043,288
1639.7475315216382,274
1642.8018710839633,289
1645.8519961235802,266
1648.8979066404884,211
1651.939602634688,196
1654.9770841061793,278
1658.010351054962,318
1661.0394034810363,158
1664.064241384402,230
1667.0848647650594,169
1670.1012736230082,175
1673.1134679582485,128
1677.123171147689,115
1680.1255315966096,124
1683.1236775228215,42
1686.117608926325,91
1689.1073258071199,31
1692.0928281652064,-6
1695.0741160005844,4
1698.0511893132539,40
1701.024048103215,47
