wavelength,intensity
901.0198689728451,22604
904.9634728266626,24546
908.9028621577714,26816
912.8380369661718,29152
916.7689972518638,31848
922.003721708573,36191
925.9248481079452,40434
929.8417599846088,45268
933.7544573385638,50732
937.6629401698106,55877
941.5672084783487,60219
945.4672622641783,63684
949.3631015272995,66559
953.254726267712,68873
957.1421364854161,70985
961.0253321804119,72432
964.904313352699,74844
968.7790800022777,77145
972.6496321291479,79397
976.5159697333096,81379
980.3780928147628,83959
984.2360013735074,85969
988.0896954095435,87949
993.2213982000453,90894
997.0652583497616,92709
1000.9049039767697,94463
1004.740335081069,95653
1008.5715516626599,96852
1012.3985537215423,98400
1016.2213412577162,99422
1020.0399142711816,100297
1023.8542727619385,101294
1027.664416729987,102858
1031.470346175327,103529
1035.2720610979584,104261
1039.0695614978813,105234
1042.8628473750957,105769
1046.6519187296017,106081
1050.4367755613991,106418
1054.2174178704881,106331
1057.9938456568686,106569
1063.022526781163,106885
1066.7891206812235,106653
1070.5515000585756,106690
1074.3096649132192,106950
1078.0636152451543,106860
1081.8133510543812,106994
1085.5588723408991,107608
1089.300179104709,108252
1093.0372713458103,108670
1096.770149064203,108965
1100.498812259887,109241
1104.223260932863,109822
1107.94349508313,110121
1111.6595147106887,110449
1115.371319815539,111064
1119.0789103976808,111299
1122.7822864571142,111088
1126.4814479938389,110591
1131.4071074519252,108593
1135.0964351023304,106135
1138.7815482300266,103053
1142.4624468350146,99789
1146.139130917294,96674
1149.8116004768651,94496
1153.4798555137277,92565
1157.1438960278815,91434
1160.803722019327,90775
1164.4593334880642,90635
1168.1107304340926,90328
1171.7579128574125,90739
1175.400880758024,91041
1179.039634135927,91596
1182.6741729911216,92148
1186.3044973236076,92885
1189.9306071333854,94030
1193.5525024204544,95432
1198.375140212333,97350
1201.9872016130823,98694
1205.595048491123,100616
1209.1986808464553,102678
1212.798098679079,104377
1216.3933019889944,106788
1219.984290776201,109259
1223.5710650406993,111145
1227.153624782489,113674
1230.7319700015703,115971
1234.306100697943,117836
1237.8760168716074,119880
1241.4417185225632,122159
1245.0032056508105,123997
1248.5604782563494,126053
1252.1135363391795,127686
1255.6623798993014,128724
1260.387615388584,130451
1263.926625062386,131623
1267.4614202134794,131740
1270.9920008418644,132700
1274.518366947541,132913
1278.040518530509,132509
1281.5584555907685,132463
1285.0721781283196,132283
1288.5816861431622,131879
1292.0869796352963,131267
1295.588058604722,130429
1299.0849230514389,128922
1302.5775729754473,127593
1306.0660083767475,125783
1309.5502292553392,123354
1313.0302356112222,121215
1316.5060274443968,118459
1319.977604754863,115199
1324.5998185779379,111023
1328.0615620020842,107595
1331.5190909035218,103952
1334.9724052822512,100891
1338.421505138272,97236
1341.8663904715843,93708
1345.307061282188,90554
1348.7435175700834,87995
1352.1757593352704,84531
1355.6037865777487,81820
1359.0275992975185,79066
1362.4471974945798,76352
1365.8625811689326,73289
1369.2737503205772,69993
1372.6807049495128,66178
1376.0834450557404,61679
1379.481970639259,56827
1382.8762817000695,51611
1387.3954738569369,44653
1390.7799510314273,40029
1394.1602136832093,35736
1397.536261812283,32374
1400.9080954186481,29889
1404.2757145023047,27995
1407.6391190632528,26547
1410.9983091014924,25235
1414.3532846170235,24613
1417.7040456098462,24009
1421.0505920799603,23724
1424.392924027366,23206
1427.731041452063,22768
1431.0649443540517,22393
1434.394632733332,22427
1437.7201065899035,22213
1441.0413659237665,22258
1444.3584107349213,22115
1448.774581225581,22047
1452.0817921504158,21934
1455.3847885525422,21461
1458.68357043196,21083
1461.9781377886695,21275
1465.2684906226702,21397
1468.5546289339627,21511
1471.8365527225467,21323
1475.114261988422,21524
1478.387756731589,21392
1481.6570369520473,21119
1484.9221026497971,21289
1488.1829538248387,21078
1491.4395904771716,20945
1494.692012606796,21089
1497.9402202137119,21139
1501.1842132979193,21331
1504.4239918594183,21380
1508.7371406838704,21661
1511.9670853590496,21660
1515.1928155115202,21628
1518.4143311412822,21727
1521.6316322483358,21715
1524.844718832681,21936
1528.0535908943177,22305
1531.2582484332459,22048
1534.4586914494655,21949
1537.654919942977,22008
1540.8469339137796,21900
1544.0347333618736,22445
1547.2183182872593,22448
1550.3976886899366,22395
1553.5728445699053,22103
1556.7437859271654,21815
1559.9105127617172,21991
1563.0730250735605,22047
1567.283152231805,21955
1570.4358306573283,21844
1573.5842945601432,21845
1576.7285439402497,21583
1579.8685787976476,21794
1583.004399132337,21277
1586.1360049443178,21207
1589.2633962335904,21221
1592.3865730001544,20833
1595.50553524401,20590
1598.6202829651568,20543
1601.7308161635954,20264
1604.8371348393252,20444
1607.9392389923466,20080
1611.0371286226598,19544
1614.1308037302642,19789
1617.2202643151602,19220
1621.3329891708083,18718
1624.4126158693846,18512
1627.4880280452523,18171
1630.5592256984114,17571
1633.6262088288622,17399
1636.6889774366043,17052
1639.7475315216382,16705
1642.8018710839633,16057
1645.8519961235802,15809
1648.8979066404884,15531
1651.939602634688,15214
1654.9770841061793,14783
1658.010351054962,13516
1661.0394034810363,12983
1664.064241384402,11981
1667.0848647650594,11464
1670.1012736230082,10639
1673.1134679582485,9289
1677.123171147689,7631
1680.1255315966096,6542
1683.1236775228215,5602
1686.117608926325,4667
1689.1073258071199,4055
1692.0928281652064,3413
1695.0741160005844,2613
1698.0511893132539,2300
1701.024048103215,1866
