wavelength,value
901.0198689728451,23485
904.9634728266626,25607
908.9028621577714,27778
912.8380369661718,30305
916.7689972518638,32929
922.003721708573,37494
925.9248481079452,42003
929.8417599846088,46947
933.7544573385638,52495
937.6629401698106,57855
941.5672084783487,62706
945.4672622641783,66341
949.3631015272995,69386
953.254726267712,71716
957.1421364854161,74014
961.0253321804119,76142
964.904313352699,78599
968.7790800022777,80966
972.6496321291479,83839
976.5159697333096,86088
980.3780928147628,88524
984.2360013735074,90719
988.0896954095435,92886
993.2213982000453,95607
997.0652583497616,97474
1000.9049039767697,99129
1004.740335081069,100586
1008.5715516626599,101815
1012.3985537215423,103164
1016.2213412577162,104475
1020.0399142711816,105584
1023.8542727619385,106800
1027.664416729987,107929
1031.470346175327,108864
1035.2720610979584,109809
1039.0695614978813,110373
1042.8628473750957,110710
1046.6519187296017,110982
1050.4367755613991,111412
1054.2174178704881,111560
1057.9938456568686,111486
1063.022526781163,111565
1066.7891206812235,111531
1070.5515000585756,111836
1074.3096649132192,111680
1078.0636152451543,111865
1081.8133510543812,112131
1085.5588723408991,112525
1089.300179104709,112982
1093.0372713458103,113339
1096.770149064203,113669
1100.498812259887,114013
1104.223260932863,114345
1107.94349508313,114910
1111.6595147106887,115411
1115.371319815539,115693
1119.0789103976808,116024
1122.7822864571142,116054
1126.4814479938389,115513
1131.4071074519252,113481
1135.0964351023304,111257
1138.7815482300266,108189
1142.4624468350146,104706
1146.139130917294,101599
1149.8116004768651,99098
1153.4798555137277,97294
1157.1438960278815,96053
1160.803722019327,95421
1164.4593334880642,94963
1168.1107304340926,95146
1171.7579128574125,95613
1175.400880758024,96060
1179.039634135927,96440
1182.6741729911216,96984
1186.3044973236076,97788
1189.9306071333854,98706
1193.5525024204544,100203
1198.375140212333,101958
1201.9872016130823,103313
1205.595048491123,105503
1209.1986808464553,107333
1212.798098679079,109366
1216.3933019889944,111562
1219.984290776201,114116
1223.5710650406993,116605
1227.153624782489,119143
1230.7319700015703,121501
1234.306100697943,123942
1237.8760168716074,126158
1241.4417185225632,128441
1245.0032056508105,130485
1248.5604782563494,132479
1252.1135363391795,134167
1255.6623798993014,135469
1260.387615388584,137051
1263.926625062386,138274
1267.4614202134794,138976
1270.9920008418644,139584
1274.518366947541,139716
1278.040518530509,140023
1281.5584555907685,139983
1285.0721781283196,139701
1288.5816861431622,139289
1292.0869796352963,138657
1295.588058604722,137547
1299.0849230514389,136047
1302.5775729754473,134434
1306.0660083767475,132562
1309.5502292553392,130073
1313.0302356112222,127584
1316.5060274443968,124627
1319.977604754863,121468
1324.5998185779379,116819
1328.0615620020842,113056
1331.5190909035218,109258
1334.9724052822512,105611
1338.421505138272,101775
1341.8663904715843,98087
1345.307061282188,94593
1348.7435175700834,91512
1352.1757593352704,88297
1355.6037865777487,85261
1359.0275992975185,82254
1362.4471974945798,79200
1365.8625811689326,75610
1369.2737503205772,71497
1372.6807049495128,67480
1376.0834450557404,62109
1379.481970639259,56453
1382.8762817000695,50382
1387.3954738569369,42050
1390.7799510314273,36247
1394.1602136832093,31399
1397.536261812283,27181
1400.9080954186481,24220
1404.2757145023047,21730
1407.6391190632528,19868
1410.9983091014924,18336
1414.3532846170235,17746
1417.7040456098462,16948
1421.0505920799603,16332
1424.392924027366,15902
1427.731041452063,15405
1431.0649443540517,15208
1434.394632733332,15085
1437.7201065899035,14859
1441.0413659237665,14820
1444.3584107349213,14503
1448.774581225581,14381
1452.0817921504158,14555
1455.3847885525422,14034
1458.68357043196,14032
1461.9781377886695,14126
1465.2684906226702,14218
1468.5546289339627,14207
1471.8365527225467,14323
1475.114261988422,14277
1478.387756731589,14186
1481.6570369520473,14378
1484.9221026497971,14499
1488.1829538248387,14503
1491.4395904771716,14550
1494.692012606796,14750
1497.9402202137119,15003
1501.1842132979193,15266
1504.4239918594183,15374
1508.7371406838704,15756
1511.9670853590496,15893
1515.1928155115202,16255
1518.4143311412822,16454
1521.6316322483358,16797
1524.844718832681,16893
1528.0535908943177,17246
1531.2582484332459,17415
1534.4586914494655,17627
1537.654919942977,17872
1540.8469339137796,18172
1544.0347333618736,18479
1547.2183182872593,18749
1550.3976886899366,18861
1553.5728445699053,19160
1556.7437859271654,19038
1559.9105127617172,19350
1563.0730250735605,19281
1567.283152231805,19541
1570.4358306573283,19432
1573.5842945601432,19767
1576.7285439402497,19853
1579.8685787976476,19968
1583.004399132337,19573
1586.1360049443178,19629
1589.2633962335904,19631
1592.3865730001544,19703
1595.50553524401,19677
1598.6202829651568,19706
1601.7308161635954,19440
1604.8371348393252,19433
1607.9392389923466,19263
1611.0371286226598,18767
1614.1308037302642,18960
1617.2202643151602,18658
1621.3329891708083,18216
1624.4126158693846,18081
1627.4880280452523,17833
1630.5592256984114,17366
1633.6262088288622,17299
1636.6889774366043,16888
1639.7475315216382,16676
1642.8018710839633,16200
1645.8519961235802,15925
1648.8979066404884,15545
1651.939602634688,15006
1654.9770841061793,14624
1658.010351054962,13824
1661.0394034810363,13368
1664.064241384402,12562
1667.0848647650594,11718
1670.1012736230082,10810
1673.1134679582485,9671
1677.123171147689,8133
1680.1255315966096,7071
1683.1236775228215,6086
1686.117608926325,5154
1689.1073258071199,4228
1692.0928281652064,3515
1695.0741160005844,2830
1698.0511893132539,2535
1701.024048103215,2292
